Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Marker,Min across,log H/L Con01_04K,log H/L Con01_10K,log H/L Con01_20K,log H/L Con01_40K,log H/L Con01_80K,log H/L Con02_04K,log H/L Con02_10K,log H/L Con02_20K,log H/L Con02_40K,log H/L Con02_80K,log H/L Pra01_04K,log H/L Pra01_10K,log H/L Pra01_20K,log H/L Pra01_40K,log H/L Pra01_80K,log H/L Pra02_04K,log H/L Pra02_10K,log H/L Pra02_20K,log H/L Pra02_40K,log H/L Pra02_80K,log H/L Tam01_04K,log H/L Tam01_10K,log H/L Tam01_20K,log H/L Tam01_40K,log H/L Tam01_80K,log H/L Tam02_04K,log H/L Tam02_10K,log H/L Tam02_20K,log H/L Tam02_40K,log H/L Tam02_80K
G5E829,G5E829,Plasma membrane calcium-transporting ATPase 1,Atp2b1,sp|G5E829|AT2B1_MOUSE Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1,Plasma membrane,24,0.160088949,-0.404662268,0.020694569,0.770938715,1.92398911,0.34256045,-0.280486962,0.083795222,0.762824442,2.396678116,0.519972108,-0.334746758,0.065838933,0.873998769,1.904623006,-0.296949703,-0.958359698,-0.455285901,0.379682485,2.849210688,0.35260379,-0.138087938,-0.157137082,0.899127895,1.810367327,0.05279487,-0.573006481,-0.215180746,0.316934256,2.432364514
O09044;P60879,O09044,Synaptosomal-associated protein 23,Snap23,sp|O09044|SNP23_MOUSE Synaptosomal-associated protein 23 OS=Mus musculus OX=10090 GN=Snap23 PE=1 SV=1,Plasma membrane,8,0.083342222,-0.52012824,-0.457443201,0.149126426,1.234382723,0.475146089,-0.235764466,-0.143912612,0.308309525,1.641882364,0.527111475,-0.363065478,-0.302412745,0.138126104,1.174677389,-0.220477616,-0.939600872,-0.737545158,-0.051883217,2.445529676,0.151700984,-0.298797366,-0.429810737,0.510418285,1.29905246,0.071969213,-0.481860472,-0.433940666,-0.177712388,1.959040853
O35516;O35516-2,O35516;O35516-2,Neurogenic locus notch homolog protein 2;Notch 2 extracellular truncation;Notch 2 intracellular domain,Notch2,sp|O35516|NOTC2_MOUSE Neurogenic locus notch homolog protein 2 OS=Mus musculus OX=10090 GN=Notch2 PE=1 SV=2;sp|O35516-2|NOTC2_MOUSE Isoform 2 of Neurogenic locus notch homolog protein 2 OS=Mus musculus OX=10090 GN=Notch2,Plasma membrane,2,0.137814958,-0.67171602,-0.590657563,0.074777392,1.177185226,0.22991511,-0.562708606,-0.698055479,0.028591055,2.126982081,0.368006437,-0.563778452,-0.573421645,0.078759154,0.965672813,-0.21781217,-0.8216547,-0.779243816,-0.164322894,1.420578356,0.070605081,-0.61880494,-0.667985814,0.240629564,1.40434761,0.222995592,-1.161194736,-0.847807518,-0.242106426,1.549338591
O88792,O88792,Junctional adhesion molecule A,F11r,sp|O88792|JAM1_MOUSE Junctional adhesion molecule A OS=Mus musculus OX=10090 GN=F11r PE=1 SV=2,Plasma membrane,2,0.25046484,-0.67482798,0.001052509,0.59764606,1.452597508,0.519973124,-0.329317249,-0.175577349,0.572913906,1.994601916,0.416666538,-0.400928652,-0.046176167,0.549024803,1.452727551,-0.16891665,-0.943927463,-0.652909122,0.152826785,2.228392334,0.165968161,-0.129056015,-0.235613923,0.592490092,1.334842478,0.238766042,-0.533326348,-0.320956684,0.310782407,2.166351956
O88952,O88952,Protein lin-7 homolog C,Lin7c,sp|O88952|LIN7C_MOUSE Protein lin-7 homolog C OS=Mus musculus OX=10090 GN=Lin7c PE=1 SV=2,Plasma membrane,4,0.203135124,-0.567987506,0.027766575,0.817057004,1.892465702,0.172021629,-0.53216487,-0.100296361,0.820227798,2.100460707,0.473945677,-0.455440916,0.058595153,0.917780696,1.901698552,-0.388825733,-1.041094187,-0.559002132,0.447265697,2.29085621,0.263446271,-0.201975262,-0.025560394,0.991992731,1.994520492,-0.116299073,-0.687091941,-0.141425483,0.340106875,2.04610347
P10852-2,P10852-2,4F2 cell-surface antigen heavy chain,Slc3a2,sp|P10852-2|4F2_MOUSE Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2,Plasma membrane,17,0.082263874,-0.492984457,0.164865825,1.028287073,2.101418836,0.222057826,-0.453546999,0.069632679,0.899318253,2.366014803,0.380952175,-0.4282668,0.1190535,0.994897092,1.993964771,-0.374117137,-1.095899694,-0.462300886,0.435805868,2.695629192,0.284229343,-0.217440664,-0.179092645,0.724780279,1.632651962,-0.081754693,-0.693207656,-0.201496058,0.367593913,2.328901519
P13597-2;P13597,P13597-2;P13597,Intercellular adhesion molecule 1,Icam1,sp|P13597-2|ICAM1_MOUSE Isoform 2 of Intercellular adhesion molecule 1 OS=Mus musculus OX=10090 GN=Icam1;sp|P13597|ICAM1_MOUSE Intercellular adhesion molecule 1 OS=Mus musculus OX=10090 GN=Icam1 PE=1 SV=1,Plasma membrane,5,0.23684019,-0.478607045,-0.305501368,0.226587688,1.080693025,0.674413621,-0.016782697,0.019583444,0.439372572,1.839276929,0.579276638,-0.34453113,-0.298518105,0.318554591,1.324816062,-0.035782232,-0.668241092,-0.44251302,0.132370524,2.582421878,0.339749985,-0.172430743,-0.39354982,0.466023708,1.375447833,0.338605869,-0.246299116,-0.287345678,-0.045962614,2.206021792
P15379-2;P15379-3;P15379-6;P15379-11;P15379-5;P15379-10;P15379-9;P15379-4;P15379-8;P15379-7;P15379;P15379-12;P15379-13,P15379-2;P15379-3;P15379-6;P15379-11;P15379-5;P15379-10;P15379-9;P15379-4;P15379-8;P15379-7;P15379,CD44 antigen,Cd44,sp|P15379-2|CD44_MOUSE Isoform 13 of CD44 antigen OS=Mus musculus OX=10090 GN=Cd44;sp|P15379-3|CD44_MOUSE Isoform 12 of CD44 antigen OS=Mus musculus OX=10090 GN=Cd44;sp|P15379-6|CD44_MOUSE Isoform 7 of CD44 antigen OS=Mus musculus OX=10090 GN=Cd44;sp|P1537,Plasma membrane,10,0.372260749,-0.428610868,-0.320086708,0.158112585,1.049732928,0.469697718,-0.22747125,-0.190938624,0.182296297,1.663636815,0.694847094,-0.327497739,-0.317346536,0.096948441,1.071139442,-0.247931461,-0.955892929,-0.845986269,-0.203334593,2.363548286,0.607892815,-0.014476688,-0.356552447,0.546838044,1.446546103,0.224724406,-0.488226746,-0.582307684,-0.270095651,2.033381538
P17426-2;P17426,P17426-2;P17426,AP-2 complex subunit alpha-1,Ap2a1,sp|P17426-2|AP2A1_MOUSE Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1;sp|P17426|AP2A1_MOUSE AP-2 complex subunit alpha-1 OS=Mus musculus OX=10090 GN=Ap2a1 PE=1 SV=1,Plasma membrane,16,-0.122020755,-0.657702774,0.036562459,0.61875255,0.43846985,0.05076611,-0.668068097,0.024525557,0.708867855,0.460038439,0.193067598,-0.724792385,-0.096739305,0.634559209,0.47594557,-0.347149711,-0.491410985,0.274751332,0.462183736,0.487119937,0.175847584,-0.153766084,-0.063377857,0.253139067,-0.032473815,-0.160991292,-0.41785602,0.081071611,0.310411868,-0.066450854
P17427,P17427,AP-2 complex subunit alpha-2,Ap2a2,sp|P17427|AP2A2_MOUSE AP-2 complex subunit alpha-2 OS=Mus musculus OX=10090 GN=Ap2a2 PE=1 SV=2,Plasma membrane,5,-0.107352324,-0.669838159,-0.022934523,0.653324216,0.375055589,0.10497008,-0.695324162,-0.125523176,0.486424432,0.271559686,0.157353913,-0.655592355,-0.133012869,0.593841526,0.406122573,-0.309615773,-0.564198475,0.207812553,0.376277547,0.341581411,0.281633654,-0.109338785,-0.101010745,0.221462861,-0.080769929,-0.06595854,-0.495449809,-0.043359148,0.025327392,-0.113579355
P18572-2;P18572,P18572-2;P18572,Basigin,Bsg,sp|P18572-2|BASI_MOUSE Isoform 2 of Basigin OS=Mus musculus OX=10090 GN=Bsg;sp|P18572|BASI_MOUSE Basigin OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=2,Plasma membrane,4,0.15484115,-0.448902772,-0.208015278,0.649744819,1.691708217,0.301898426,-0.443721305,-0.811688815,0.446730774,1.86159136,0.341284727,-0.3154964,-0.362323896,0.500200953,1.525819204,-0.322413776,-1.069872522,-0.793436936,0.109217308,2.156362139,0.26447542,-0.148907878,-0.248670528,0.481919971,1.870730976,-0.16242166,-1.003624825,-0.772258562,0.017158284,1.321124931
P51912,P51912,Neutral amino acid transporter B(0),Slc1a5,sp|P51912|AAAT_MOUSE Neutral amino acid transporter B(0) OS=Mus musculus OX=10090 GN=Slc1a5 PE=1 SV=2,Plasma membrane,3,0.372922334,-0.556376216,-0.284939422,-0.090177152,1.287329233,0.67153167,-0.127713212,-0.378009886,0.212855436,1.787456759,0.632194213,-0.476032569,-0.385262155,0.086288926,1.20000804,0.083074403,-0.986376825,-1.024826588,-0.284988884,2.186940611,0.372786152,-0.20986792,-0.356173418,0.539110836,1.428978535,0.14324776,-0.55121523,-0.587480615,-0.239912279,2.022553095
P63094-2;Q6R0H7-4,P63094-2;Q6R0H7-4,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,Gnas,sp|P63094-2|GNAS2_MOUSE Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Mus musculus OX=10090 GN=Gnas;sp|Q6R0H7-4|GNAS1_MOUSE Isoform XLas-4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS,Plasma membrane,7,0.330751945,-0.430258295,-0.430328683,0.274246446,1.120380886,0.50292053,-0.155130502,-0.163279709,0.252722007,1.764818006,0.632038406,-0.261345747,-0.202474069,0.334450132,1.309609029,-0.121589746,-0.917205792,-0.609036725,-0.040006524,2.498871141,0.599670763,-0.104291745,-0.361244407,0.744327254,1.380026336,0.146777886,-0.402539442,-0.340563965,-0.070749661,2.23427779
P70206;P70208-2;P70208,P70206,Plexin-A1,Plxna1,sp|P70206|PLXA1_MOUSE Plexin-A1 OS=Mus musculus OX=10090 GN=Plxna1 PE=1 SV=1,Plasma membrane,14,0.438121112,-0.376257558,-0.451330181,-0.084287002,1.043940769,0.711545369,-0.10382919,-0.215511593,0.226457087,1.752773269,0.718226664,-0.302991485,-0.398743332,0.106839494,1.128430762,0.055455186,-0.858092898,-0.769501397,-0.149235594,2.371882899,0.470758634,-0.179119008,-0.474362437,0.399663279,1.431826523,0.32778811,-0.42718704,-0.524684308,-0.078395737,2.183167658
